Player,Nation,Squad,Age,Min,ATK,Go,Ast,Touches,Interceptions,YellowCard
Timothy Castagne,BEL,Leicester City,26.0,2127,0.04,1,0,1567,38,1
Koen Casteels,BEL,Wolfsburg,29.0,2520,0.0,0,0,1145,0,1
Thibaut Courtois,BEL,Real Madrid,30.0,3240,0.0,0,0,1210,0,1
Kevin De Bruyne,BEL,Manchester City,30.0,2201,0.94,15,8,1819,14,2
Jason Denayer,BEL,Lyon,26.0,1002,0.27,3,0,845,18,2
Leander Dendoncker,BEL,Wolves,27.0,1950,0.18,2,2,1012,24,4
Landry Dimata,BEL,Espanyol,24.0,541,0.0,0,0,182,3,0
Jeremy Doku,BEL,Rennes,20.0,469,0.5700000000000001,1,2,262,7,2
Renaud Emond,BEL,Nantes,30.0,190,0.0,0,0,48,2,0
Wout Faes,BEL,Reims,24.0,3330,0.11,4,0,1824,81,2
Thomas Foket,BEL,Reims,27.0,2235,0.04,1,0,1309,45,5
Eden Hazard,BEL,Real Madrid,31.0,717,0.13,0,1,507,8,3
Thorgan Hazard,BEL,Dortmund,29.0,1337,0.34,4,1,1004,21,2
Daan Heymans,BEL,Venezia,22.0,256,0.36,0,1,133,4,4
Adnan Januzaj,BEL,Real Sociedad,27.0,1625,0.17,3,0,1051,17,5
Christian Kabasele,BEL,Watford,31.0,1193,0.0,0,0,590,26,0
Romelu Lukaku,BEL,Chelsea,29.0,1589,0.45,8,0,503,1,1
Dodi Lukebakio,BEL,Hertha BSC,24.0,176,0.5,1,0,66,1,0
Dodi Lukebakio,BEL,Wolfsburg,24.0,882,0.30000000000000004,1,2,442,10,2
Orel Mangala,BEL,Stuttgart,24.0,1853,0.2,1,3,1007,28,4
Eliot Matazo,BEL,Monaco,20.0,790,0.0,0,0,470,19,1
Nathan de Medina,BEL,Arminia,24.0,775,0.0,0,0,426,19,2
Dries Mertens,BEL,Napoli,35.0,1384,0.77,11,1,698,7,2
Thomas Meunier,BEL,Dortmund,30.0,1402,0.39,2,4,1295,20,4
Amadou Onana,BEL,Lille,20.0,1359,0.07,1,0,827,34,2
Divock Origi,BEL,Liverpool,27.0,133,2.0,3,0,67,3,0
Dennis Praet,BEL,Torino,28.0,1539,0.24,2,2,744,13,3
Alexis Saelemaekers,BEL,Milan,22.0,1865,0.19,1,3,1156,28,2
Albert Sambi Lokonga,BEL,Arsenal,22.0,1134,0.0,0,0,930,23,5
Matz Sels,BEL,Strasbourg,30.0,3330,0.0,0,0,1047,0,1
Hugo Siquet,BEL,Freiburg,19.0,22,0.0,0,0,21,0,0
Arthur Theate,BEL,Bologna,22.0,2424,0.11000000000000001,2,1,1724,71,6
Youri Tielemans,BEL,Leicester City,25.0,2631,0.35,6,4,2087,41,3
Leandro Trossard,BEL,Brighton,27.0,2805,0.36,8,3,1590,29,2
Zinho Vanheusden,BEL,Genoa,22.0,989,0.0,0,0,536,23,3
Aster Vranckx,BEL,Wolfsburg,19.0,1141,0.16,2,0,635,18,2
Axel Witsel,BEL,Dortmund,33.0,1941,0.09,2,0,1495,33,4
Alisson,BRA,Liverpool,29.0,3240,0.03,0,1,1462,0,0
Allan,BRA,Everton,31.0,2183,0.08,0,2,1232,42,7
Dani Alves,BRA,Barcelona,39.0,1098,0.33,1,3,1176,24,2
Felipe Anderson,BRA,Lazio,29.0,2888,0.44,6,8,1852,37,2
Arthur,BRA,Fiorentina,24.0,749,0.48,2,2,241,3,1
Danilo Barbosa,BRA,Nice,26.0,90,0.0,0,0,58,4,0
Rodrigo Becão,BRA,Udinese,26.0,3130,0.09,2,1,1735,59,10
Gleison Bremer,BRA,Torino,25.0,2890,0.12,3,1,1885,117,7
Igor Carioca,BRA,Lorient,25.0,1578,0.0,0,0,959,35,3
Diego Carlos,BRA,Sevilla,29.0,2957,0.09,3,0,2454,52,4
Casemiro,BRA,Real Madrid,30.0,2569,0.15,1,3,2378,59,11
Leonardo César Jardim,BRA,Lille,27.0,1530,0.0,0,0,481,0,0
Kayky Chagas,BRA,Manchester City,18.0,7,0.0,0,0,2,0,0
Philippe Coutinho,BRA,Aston Villa,29.0,1329,0.54,5,3,823,8,0
Philippe Coutinho,BRA,Barcelona,29.0,503,0.36,2,0,420,6,1
Matheus Cunha,BRA,Hertha BSC,23.0,64,1.43,0,1,27,1,0
Matheus Cunha,BRA,Atlético Madrid,23.0,1063,0.8500000000000001,6,4,416,8,3
Danilo,BRA,Juventus,30.0,1893,0.15000000000000002,1,2,1651,39,6
Dante,BRA,Nice,38.0,2870,0.0,0,0,2644,60,7
Raphael Dias Belloli,BRA,Leeds United,25.0,2915,0.43000000000000005,11,3,1794,43,7
Gabriel Dos Santos,BRA,Arsenal,24.0,3063,0.15,5,0,2301,39,8
Éderson,BRA,Salernitana,22.0,1147,0.24,2,1,584,24,5
Ederson,BRA,Manchester City,28.0,3330,0.0,0,0,1147,0,3
Emerson,BRA,Tottenham,23.0,2286,0.08,1,1,1773,35,5
Emerson,BRA,Barcelona,23.0,91,0.0,0,0,83,2,0
Fabinho,BRA,Liverpool,28.0,2314,0.23,5,1,1787,56,7
Fábio,BRA,Nantes,31.0,1667,0.11,0,2,1063,39,8
Diego Farias,BRA,Cagliari,32.0,66,0.0,0,0,40,0,0
Felipe,BRA,Atlético Madrid,33.0,1504,0.18,2,1,966,32,5
Fernandinho,BRA,Manchester City,37.0,964,0.28,2,1,907,14,1
Fernando,BRA,Sevilla,34.0,1850,0.1,1,1,1416,42,6
Roberto Firmino,BRA,Liverpool,30.0,990,0.81,5,4,669,4,3
Fransérgio,BRA,Bordeaux,31.0,1258,0.07,0,1,681,17,7
Fred,BRA,Manchester Utd,29.0,2028,0.36,4,4,1607,49,5
Thiago Galhardo,BRA,Celta Vigo,32.0,1148,0.32,2,2,423,11,5
Gerson,BRA,Marseille,25.0,2544,0.46,9,4,1617,25,3
Andrei Girotto,BRA,Nantes,30.0,3146,0.2,6,1,2132,83,8
Bruno Guimarães,BRA,Lyon,24.0,1634,0.16,0,3,1576,34,2
Bruno Guimarães,BRA,Newcastle Utd,24.0,1034,0.52,5,1,716,19,4
Henrique,BRA,Lyon,28.0,1105,0.08,0,1,926,19,3
Dalbert Henrique,BRA,Cagliari,28.0,2081,0.09,0,2,1103,33,9
Luis Henrique,BRA,Marseille,20.0,699,0.13,0,1,278,10,0
Matheus Henrique,BRA,Sassuolo,24.0,1078,0.08,0,1,715,13,3
Hernani,BRA,Genoa,28.0,682,0.0,0,0,348,10,0
Iago,BRA,Augsburg,25.0,2174,0.29,2,5,1473,44,3
Roger Ibanez,BRA,Roma,23.0,2889,0.09,3,0,2257,95,9
Igor,BRA,Fiorentina,24.0,2242,0.0,0,0,1888,58,3
Jemerson,BRA,Metz,29.0,1202,0.0,0,0,624,35,3
Gabriel Jesus,BRA,Manchester City,25.0,1877,0.76,8,8,1030,18,1
Juan Jesus,BRA,Napoli,30.0,1278,0.07,1,0,957,18,1
Joelinton,BRA,Newcastle Utd,25.0,2558,0.18000000000000002,4,1,1401,48,8
Kaio Jorge,BRA,Juventus,20.0,121,0.0,0,0,64,0,0
Willian José,BRA,Betis,30.0,1604,0.73,9,4,708,8,2
Vinicius Júnior,BRA,Real Madrid,21.0,2690,0.8999999999999999,17,10,1790,14,6
Kenedy,BRA,Chelsea,26.0,58,1.67,0,1,64,0,0
Lucas Leiva,BRA,Lazio,35.0,1697,0.0,0,0,1407,32,9
Anderson Lima,BRA,Lazio,22.0,65,0.0,0,0,50,2,1
Renan Lodi,BRA,Atlético Madrid,24.0,1181,0.3,2,2,799,27,4
Jean Lucas,BRA,Monaco,23.0,1445,0.12,1,1,1037,31,3
Douglas Luiz,BRA,Aston Villa,24.0,2715,0.17,2,3,1780,61,7
Lyanco,BRA,Southampton,25.0,911,0.0,0,0,514,29,2
Maranhão,BRA,Valencia,25.0,973,0.37,1,3,359,10,3
Fernando Marçal,BRA,Wolves,33.0,1449,0.0,0,0,1084,31,3
Marcelo,BRA,Real Madrid,34.0,442,0.41,0,2,517,6,0
Marcelo,BRA,Bordeaux,35.0,898,0.0,0,0,739,17,4
Marcelo,BRA,Lyon,35.0,180,0.0,0,0,190,4,1
Marquinhos,BRA,Paris S-G,28.0,2861,0.16,5,0,2638,50,5
Martinelli,BRA,Arsenal,20.0,1860,0.58,6,6,909,21,3
Arthur Melo,BRA,Juventus,25.0,962,0.0,0,0,786,11,3
Thiago Mendes,BRA,Lyon,30.0,1863,0.15000000000000002,2,1,1778,53,3
Junior Messias,BRA,Milan,31.0,1428,0.44,5,2,789,33,2
Mikael,BRA,Salernitana,23.0,87,0.0,0,0,32,0,0
Éder Militão,BRA,Real Madrid,24.0,3031,0.09,1,2,2337,70,5
Wesley Moraes,BRA,Aston Villa,25.0,1,0.0,0,0,0,0,0
Lucas Moura,BRA,Tottenham,29.0,1775,0.4,2,6,1047,22,4
Neto,BRA,Barcelona,32.0,270,0.0,0,0,139,0,0
Neymar,BRA,Paris S-G,30.0,1851,0.9199999999999999,13,6,1701,14,10
Otávio,BRA,Bordeaux,28.0,1147,0.0,0,0,821,17,3
Paulo Otávio,BRA,Wolfsburg,27.0,362,0.25,0,1,257,4,0
Lucas Paquetá,BRA,Lyon,24.0,2699,0.5,9,6,2108,26,3
Paulinho,BRA,Leverkusen,21.0,1218,0.37,4,1,686,16,1
Gabriel Paulista,BRA,Valencia,31.0,1592,0.16999999999999998,2,1,812,67,2
João Pedro,BRA,Watford,20.0,1644,0.21000000000000002,3,1,906,19,1
Luan Peres Petroni,BRA,Marseille,27.0,2679,0.07,0,2,2244,57,6
Rafinha,BRA,Real Sociedad,29.0,1050,0.09,1,0,860,22,3
Rafinha,BRA,Paris S-G,29.0,220,0.0,0,0,227,4,0
Reinier,BRA,Dortmund,20.0,162,0.0,0,0,105,4,0
Richarlison,BRA,Everton,25.0,2523,0.54,10,5,1054,21,9
Rodrygo,BRA,Real Madrid,21.0,1459,0.5,4,4,903,18,4
Rogério,BRA,Sassuolo,24.0,1729,0.05,0,1,1333,34,5
Ruan,BRA,Sassuolo,22.0,214,0.0,0,0,147,9,1
Alex Sandro,BRA,Juventus,31.0,1780,0.05,0,1,1305,35,3
Samir Santos,BRA,Udinese,27.0,1421,0.0,0,0,878,51,5
Samir Santos,BRA,Watford,27.0,1673,0.0,0,0,855,54,4
Caio Henrique Oliveira Silva,BRA,Monaco,24.0,2662,0.34,2,8,2141,58,5
Gabriel Silva,BRA,Saint-Étienne,31.0,713,0.0,0,0,426,14,1
Thiago Silva,BRA,Chelsea,37.0,2650,0.1,3,0,2818,65,2
Danilo Soares,BRA,Bochum,30.0,2564,0.04,0,1,2088,107,4
Alex Telles,BRA,Manchester Utd,29.0,1660,0.22,0,4,1381,36,1
Tetê,BRA,Lyon,22.0,583,1.08,2,5,325,6,1
Thuler,BRA,Montpellier,23.0,855,0.0,0,0,421,16,3
Tuta,BRA,Eint Frankfurt,22.0,2183,0.16,4,0,1657,60,4
Vanderson,BRA,Monaco,20.0,1120,0.24,2,1,785,19,3
Walace,BRA,Udinese,27.0,2970,0.03,1,0,2020,86,6
Stéphane Bahoken,CMR,Angers,30.0,1099,0.33,3,1,366,6,0
Jean-Claude Billong,CMR,Clermont Foot,28.0,980,0.0,0,0,572,17,2
Yan Brice Eteki,CMR,Granada,24.0,343,0.0,0,0,178,3,3
Jean-Charles Castelletto,CMR,Nantes,27.0,2510,0.04,1,0,1433,45,8
Tristan Dingomé,CMR,Troyes,31.0,1077,0.5,2,4,640,17,3
Bryan Djile Nokoué,CMR,Saint-Étienne,20.0,57,0.0,0,0,40,1,0
Enzo Ebosse,CMR,Angers,23.0,1890,0.0,0,0,1254,41,1
Ignatius Ganago,CMR,Lens,23.0,1024,0.53,5,1,337,2,2
Martin Hongla,CMR,Hellas Verona,24.0,651,0.14,1,0,385,10,3
Jean-Armel Kana-Biyik,CMR,Metz,32.0,664,0.0,0,0,389,26,1
Didier Lamkel Zé,CMR,Metz,25.0,605,0.45,3,0,283,0,2
Joël Matip,CMR,Liverpool,30.0,2790,0.2,3,3,2548,66,2
Eric Maxim Choupo-Moting,CMR,Bayern Munich,33.0,377,1.43,4,2,199,3,0
Harold Moukoudi,CMR,Saint-Étienne,24.0,1661,0.0,0,0,1104,41,3
Yvan Neyou,CMR,Saint-Étienne,25.0,936,0.0,0,0,613,25,4
Nicolas Nkoulou,CMR,Watford,32.0,168,0.0,0,0,71,1,0
Jean-Pierre Nsame,CMR,Venezia,29.0,245,0.37,0,1,95,0,0
Allan Nyom,CMR,Getafe,34.0,244,0.0,0,0,117,4,1
Jean Onana,CMR,Bordeaux,22.0,1832,0.25,3,2,1382,61,3
Ambroise Oyongo,CMR,Montpellier,30.0,659,0.14,1,0,440,12,5
Adrien Tameze,CMR,Hellas Verona,28.0,2574,0.21000000000000002,4,2,1647,72,4
Karl Toko Ekambi,CMR,Lyon,29.0,2296,0.6699999999999999,12,5,1288,31,3
Andre-Frank Zambo Anguissa,CMR,Napoli,26.0,1926,0.05,0,1,1498,44,5
Jonathan David,CAN,Lille,22.0,2804,0.48,15,0,1006,12,3
Alphonso Davies,CAN,Bayern Munich,21.0,1740,0.16,0,3,1605,42,3
Ike Ugbo,CAN,Troyes,23.0,814,0.56,5,0,225,5,0
Milan Badelj,CRO,Genoa,33.0,2844,0.03,1,0,1943,119,4
Toma Bai?,CRO,Lazio,25.0,982,0.18,0,2,564,9,3
Toma Bai?,CRO,Bordeaux,25.0,209,0.43,0,1,123,3,0
Filip Benkovi?,CRO,Udinese,24.0,8,0.0,0,0,7,0,0
Luka Bogdan,CRO,Salernitana,26.0,399,0.0,0,0,174,15,0
Domagoj Bradari?,CRO,Lille,22.0,417,0.0,0,0,341,15,2
Josip Brekalo,CRO,Wolfsburg,23.0,21,5.0,0,1,26,0,0
Josip Brekalo,CRO,Torino,23.0,2286,0.36000000000000004,7,2,1417,11,1
Marcelo Brozovi?,CRO,Inter,29.0,2937,0.09,2,1,2891,52,7
Ante Budimir,CRO,Osasuna,30.0,1738,0.51,8,2,620,7,3
Duje ?aleta-Car,CRO,Marseille,25.0,2057,0.09,2,0,1954,35,6
Martin Erlic,CRO,Spezia,24.0,2576,0.07,2,0,1365,63,5
Ivo Grbi?,CRO,Lille,26.0,1890,0.0,0,0,634,0,3
Joko Gvardiol,CRO,RB Leipzig,20.0,2409,0.14,2,2,2412,89,7
Kristijan Jaki?,CRO,Eint Frankfurt,25.0,1879,0.05,1,0,1081,29,6
Marin Jakoli,CRO,Angers,25.0,229,0.0,0,0,97,0,0
Nikola Kalini?,CRO,Hellas Verona,34.0,406,1.11,4,1,175,0,5
Mateo Kova?i?,CRO,Chelsea,28.0,1558,0.41,2,5,1375,20,4
Andrej Kramari?,CRO,Hoffenheim,30.0,2707,0.5,6,9,1360,15,2
Matej Maglica,CRO,Stuttgart,23.0,6,0.0,0,0,1,0,0
Lovro Majer,CRO,Rennes,24.0,1832,0.6799999999999999,6,8,1325,25,1
Luka Modri?,CRO,Real Madrid,36.0,2032,0.43999999999999995,2,8,1908,31,4
Ivor Pandur,CRO,Hellas Verona,22.0,270,0.0,0,0,76,0,0
Mario Paali?,CRO,Atalanta,27.0,2002,0.86,13,6,1284,26,3
Ivan Perii?,CRO,Inter,33.0,2821,0.45,8,6,1827,61,4
Marko Pjaca,CRO,Torino,27.0,1149,0.23,3,0,580,8,0
Marin Pongra?i?,CRO,Dortmund,24.0,827,0.0,0,0,729,33,3
Ivan Rakiti?,CRO,Sevilla,34.0,2182,0.42000000000000004,4,6,1898,26,5
Ante Rebi?,CRO,Milan,28.0,891,0.4,2,2,458,2,2
Marko Rog,CRO,Cagliari,26.0,311,0.29,0,1,191,2,0
Adrian emper,CRO,Genoa,24.0,90,0.0,0,0,39,0,0
Borna Sosa,CRO,Stuttgart,24.0,2498,0.32999999999999996,1,8,2043,37,4
Josip Stanii?,CRO,Bayern Munich,22.0,644,0.14,1,0,668,21,1
Bosko Sutalo,CRO,Hellas Verona,22.0,920,0.0,0,0,614,31,0
Gabriel Vidovic,CRO,Bayern Munich,18.0,36,0.0,0,0,29,0,0
Nikola Vlai?,CRO,West Ham,24.0,560,0.16,1,0,291,10,0
ime Vrsaljko,CRO,Atlético Madrid,30.0,914,0.30000000000000004,1,2,721,11,4
Felipe Caicedo,ECU,Genoa,33.0,284,0.94,1,2,113,0,1
Felipe Caicedo,ECU,Inter,33.0,23,0.0,0,0,12,0,0
Moisés Caicedo,ECU,Brighton,20.0,660,0.28,1,1,359,12,2
Pervis Estupiñán,ECU,Villarreal,24.0,1575,0.06,0,1,1250,48,3
Carlos Gruezo,ECU,Augsburg,27.0,970,0.0,0,0,412,22,7
Piero Hincapié,ECU,Leverkusen,20.0,1754,0.15000000000000002,1,2,1458,56,5
Jeremy Sarmiento,ECU,Brighton,19.0,48,0.0,0,0,37,1,0
Laurent Abergel,FRA,Lorient,29.0,2956,0.06,0,2,2023,84,9
Charles Abi,FRA,Saint-Étienne,22.0,45,0.0,0,0,12,0,0
Matthis Abline,FRA,Rennes,19.0,103,0.0,0,0,26,1,0
Mohamed Achi,FRA,Nantes,20.0,10,0.0,0,0,6,0,0
Martin Adeline,FRA,Reims,18.0,352,0.0,0,0,196,14,1
Amine Adli,FRA,Leverkusen,22.0,1256,0.35,3,2,762,17,3
Yacine Adli,FRA,Bordeaux,21.0,2260,0.32,1,7,1557,54,5
Lucien Agoume,FRA,Brest,20.0,1868,0.0,0,0,1196,56,6
Ruben Aguilar,FRA,Monaco,29.0,2140,0.08,0,2,2004,59,4
Naouirou Ahamada,FRA,Stuttgart,20.0,61,0.0,0,0,38,0,0
Rayan Aït Nouri,FRA,Wolves,20.0,1828,0.15000000000000002,1,2,1282,38,4
Marley Aké,FRA,Juventus,21.0,77,0.0,0,0,24,2,1
Maghnes Akliouche,FRA,Monaco,20.0,54,0.0,0,0,37,0,1
Mohamed Ali Cho,FRA,Angers,18.0,1837,0.25,4,1,594,13,6
Ibrahim Amadou,FRA,Metz,29.0,812,0.11,1,0,527,20,4
Jordan Amavi,FRA,Marseille,28.0,128,0.0,0,0,106,1,0
Jordan Amavi,FRA,Nice,28.0,413,0.0,0,0,373,13,1
Kelvin Amian,FRA,Spezia,24.0,2646,0.06,1,1,1452,48,9
Benjamin André,FRA,Lille,31.0,2752,0.1,2,1,2165,76,12
Janis Antiste,FRA,Spezia,19.0,796,0.11,1,0,317,8,0
Houssem Aouar,FRA,Lyon,23.0,2504,0.36,6,4,1859,38,1
Adil Aouchiche,FRA,Saint-Étienne,19.0,1081,0.33,0,4,808,21,2
Dennis Appiah,FRA,Nantes,29.0,2099,0.0,0,0,1255,47,4
Alphonse Areola,FRA,West Ham,29.0,90,0.0,0,0,42,0,0
Jean-Kévin Augustin,FRA,Nantes,24.0,84,0.0,0,0,32,0,1
Karim Azamoum,FRA,Troyes,32.0,388,0.0,0,0,178,2,2
Loïc Bade,FRA,Rennes,22.0,985,0.09,0,1,833,21,3
Benoît Badiashile,FRA,Monaco,21.0,1838,0.05,1,0,1550,57,4
Dénys Bain,FRA,Brest,28.0,180,0.0,0,0,100,4,0
Stefan Bajic,FRA,Saint-Étienne,20.0,510,0.0,0,0,205,0,0
Abdoulaye Bakayoko,FRA,Saint-Étienne,19.0,307,0.0,0,0,195,14,0
Tiemoué Bakayoko,FRA,Milan,27.0,501,0.0,0,0,376,11,3
Dilane Bakwa,FRA,Bordeaux,19.0,43,0.0,0,0,22,0,0
Ibrahima Baldé,FRA,Lens,19.0,58,0.0,0,0,18,0,0
Jonathan Bamba,FRA,Lille,26.0,2428,0.11000000000000001,1,2,1530,46,3
Simon Banza,FRA,Lens,25.0,124,1.42,1,1,53,0,0
Bradley Barcola,FRA,Lyon,19.0,263,0.34,0,1,125,5,0
Melvin Bard,FRA,Nice,21.0,2589,0.14,2,2,2163,77,3
Abdourahmane Barry,FRA,Greuther Fürth,22.0,210,0.0,0,0,144,6,2
Amine Bassi,FRA,Metz,24.0,184,0.0,0,0,153,4,0
Paul Baysse,FRA,Bordeaux,34.0,11,0.0,0,0,7,1,0
Jean-Ricner Bellegarde,FRA,Strasbourg,23.0,2332,0.2,2,3,1435,39,5
Jeanuel Belocian,FRA,Rennes,17.0,12,0.0,0,0,13,0,0
Hatem Ben Arfa,FRA,Lille,35.0,314,0.29,0,1,196,1,1
Salim Ben Seghir,FRA,Marseille,19.0,1,0.0,0,0,0,0,0
Wissam Ben Yedder,FRA,Monaco,31.0,2529,1.07,25,5,955,6,3
Karim Benzema,FRA,Real Madrid,34.0,2593,1.3599999999999999,27,12,1521,7,0
Paul Bernardoni,FRA,Angers,25.0,1170,0.0,0,0,364,0,0
Paul Bernardoni,FRA,Saint-Étienne,25.0,1710,0.0,0,0,640,0,0
Dimitry Bertaud,FRA,Montpellier,23.0,833,0.0,0,0,332,0,0
Jason Berthomier,FRA,Clermont Foot,32.0,1732,0.31,1,5,1553,10,0
Giulian Biancone,FRA,Troyes,22.0,2292,0.12,1,2,1617,73,10
